country,quarter,date,M1,dM1,G,dG,i_nom,i_nom_lag1,i_h1
Australia,1990-Q1,1990-01-01,41000,NA,17572,NA,16.4566666666667,NA,15.07
Australia,1990-Q2,1990-04-01,41900,900,19178,1606,15.07,16.4566666666667,14.09
Australia,1990-Q3,1990-07-01,43200,1300,19094,-84,14.09,15.07,12.5566666666667
Australia,1990-Q4,1990-10-01,46700,3500,19367,273,12.5566666666667,14.09,11.68
Australia,1991-Q1,1991-01-01,44200,-2500,18981,-386,11.68,12.5566666666667,10.8233333333333
Australia,1991-Q2,1991-04-01,44800,600,19943,962,10.8233333333333,11.68,10.0166666666667
Australia,1991-Q3,1991-07-01,46800,2000,21085,1142,10.0166666666667,10.8233333333333,8.38333333333334
Australia,1991-Q4,1991-10-01,50200,3400,20850,-235,8.38333333333334,10.0166666666667,7.49333333333333
Australia,1992-Q1,1992-01-01,50100,-100,19913,-937,7.49333333333333,8.38333333333334,6.72
Australia,1992-Q2,1992-04-01,51400,1300,20676,763,6.72,7.49333333333333,5.77
Australia,1992-Q3,1992-07-01,58200,6800,21762,1086,5.77,6.72,5.88
Australia,1992-Q4,1992-10-01,60300,2100,21302,-460,5.88,5.77,5.69333333333333
Australia,1993-Q1,1993-01-01,61200,900,20985,-317,5.69333333333333,5.88,5.21333333333333
Australia,1993-Q2,1993-04-01,63900,2700,22024,1039,5.21333333333333,5.69333333333333,4.89666666666667
Australia,1993-Q3,1993-07-01,64900,1000,21921,-103,4.89666666666667,5.21333333333333,4.80333333333333
Australia,1993-Q4,1993-10-01,71000,6100,21771,-150,4.80333333333333,4.89666666666667,4.83
Australia,1994-Q1,1994-01-01,72200,1200,21671,-100,4.83,4.80333333333333,4.96333333333333
Australia,1994-Q2,1994-04-01,73500,1300,22421,750,4.96333333333333,4.83,5.64666666666666
Australia,1994-Q3,1994-07-01,74900,1400,23096,675,5.64666666666666,4.96333333333333,7.18666666666667
Australia,1994-Q4,1994-10-01,78800,3900,22572,-524,7.18666666666667,5.64666666666666,8.19333333333333
Australia,1995-Q1,1995-01-01,75600,-3200,22298,-274,8.19333333333333,7.18666666666667,7.71333333333333
Australia,1995-Q2,1995-04-01,75200,-400,24465,2167,7.71333333333333,8.19333333333333,7.54333333333333
Australia,1995-Q3,1995-07-01,76900,1700,23515,-950,7.54333333333333,7.71333333333333,7.45333333333333
Australia,1995-Q4,1995-10-01,83900,7000,25116,1601,7.45333333333333,7.54333333333333,7.48666666666667
Australia,1996-Q1,1996-01-01,84000,100,24036,-1080,7.48666666666667,7.45333333333333,7.56333333333333
Australia,1996-Q2,1996-04-01,84800,800,25640,1604,7.56333333333333,7.48666666666667,7.13
Australia,1996-Q3,1996-07-01,86700,1900,25621,-19,7.13,7.56333333333333,6.42666666666667
Australia,1996-Q4,1996-10-01,95500,8800,25927,306,6.42666666666667,7.13,5.92666666666667
Australia,1997-Q1,1997-01-01,94100,-1400,23934,-1993,5.92666666666667,6.42666666666667,5.75333333333333
Australia,1997-Q2,1997-04-01,96900,2800,26223,2289,5.75333333333333,5.92666666666667,4.95333333333333
Australia,1997-Q3,1997-07-01,100900,4000,26758,535,4.95333333333333,5.75333333333333,4.95
Australia,1997-Q4,1997-10-01,108100,7200,28097,1339,4.95,4.95333333333333,4.97333333333333
Australia,1998-Q1,1998-01-01,103900,-4200,24923,-3174,4.97333333333333,4.95,5.06666666666667
Australia,1998-Q2,1998-04-01,108100,4200,27830,2907,5.06666666666667,4.97333333333333,5.13
Australia,1998-Q3,1998-07-01,109400,1300,28543,713,5.13,5.06666666666667,4.8366666666666696
Australia,1998-Q4,1998-10-01,114700,5300,30018,1475,4.8366666666666696,5.13,4.79
Australia,1999-Q1,1999-01-01,114000,-700,27562,-2456,4.79,4.8366666666666696,4.85
Australia,1999-Q2,1999-04-01,116300,2300,30346,2784,4.85,4.79,4.94
Australia,1999-Q3,1999-07-01,118700,2400,28878,-1468,4.94,4.85,5.46666666666667
Australia,1999-Q4,1999-10-01,125800,7100,30505,1627,5.46666666666667,4.94,5.78333333333333
Australia,2000-Q1,2000-01-01,123200,-2600,30808,303,5.78333333333333,5.46666666666667,6.19333333333333
Australia,2000-Q2,2000-04-01,127800,4600,32656,1848,6.19333333333333,5.78333333333333,6.42
Australia,2000-Q3,2000-07-01,130800,3000,31856,-800,6.42,6.19333333333333,6.31333333333333
Australia,2000-Q4,2000-10-01,137600,6800,32647,791,6.31333333333333,6.42,5.54666666666667
Australia,2001-Q1,2001-01-01,140600,3000,32146,-501,5.54666666666667,6.31333333333333,4.90666666666667
Australia,2001-Q2,2001-04-01,150300,9700,34522,2376,4.90666666666667,5.54666666666667,4.84666666666667
Australia,2001-Q3,2001-07-01,155300,5000,34013,-509,4.84666666666667,4.90666666666667,4.29666666666667
Australia,2001-Q4,2001-10-01,166900,11600,34293,280,4.29666666666667,4.84666666666667,4.34333333333333
Australia,2002-Q1,2002-01-01,166900,0,34310,17,4.34333333333333,4.29666666666667,4.83333333333333
Australia,2002-Q2,2002-04-01,206000,39100,36179,1869,4.83333333333333,4.34333333333333,4.95333333333333
Australia,2002-Q3,2002-07-01,206700,700,35404,-775,4.95333333333333,4.83333333333333,4.85666666666667
Australia,2002-Q4,2002-10-01,214500,7800,36606,1202,4.85666666666667,4.95333333333333,4.77
Australia,2003-Q1,2003-01-01,212700,-1800,36090,-516,4.77,4.85666666666667,4.74666666666667
Australia,2003-Q2,2003-04-01,221600,8900,39759,3669,4.74666666666667,4.77,4.81666666666667
Australia,2003-Q3,2003-07-01,228300,6700,37759,-2000,4.81666666666667,4.74666666666667,5.25
Australia,2003-Q4,2003-10-01,236100,7800,39472,1713,5.25,4.81666666666667,5.54333333333333
Australia,2004-Q1,2004-01-01,233500,-2600,37775,-1697,5.54333333333333,5.25,5.51333333333333
Australia,2004-Q2,2004-04-01,241500,8000,43142,5367,5.51333333333333,5.54333333333333,5.44
Australia,2004-Q3,2004-07-01,243800,2300,40517,-2625,5.44,5.51333333333333,5.41666666666667
Australia,2004-Q4,2004-10-01,252100,8300,42223,1706,5.41666666666667,5.44,5.62
Australia,2005-Q1,2005-01-01,252000,-100,40620,-1603,5.62,5.41666666666667,5.69666666666667
Australia,2005-Q2,2005-04-01,264800,12800,46301,5681,5.69666666666667,5.62,5.63
Australia,2005-Q3,2005-07-01,268800,4000,43226,-3075,5.63,5.69666666666667,5.63
Australia,2005-Q4,2005-10-01,278400,9600,46099,2873,5.63,5.63,5.61666666666667
Australia,2006-Q1,2006-01-01,280100,1700,43631,-2468,5.61666666666667,5.63,5.84
Australia,2006-Q2,2006-04-01,292700,12600,50040,6409,5.84,5.61666666666667,6.15
Australia,2006-Q3,2006-07-01,296600,3900,47146,-2894,6.15,5.84,6.34666666666667
Australia,2006-Q4,2006-10-01,309300,12700,49891,2745,6.34666666666667,6.15,6.41
Australia,2007-Q1,2007-01-01,311800,2500,47415,-2476,6.41,6.34666666666667,6.42333333333334
Australia,2007-Q2,2007-04-01,336700,24900,50318,2903,6.42333333333334,6.41,6.72
Australia,2007-Q3,2007-07-01,340800,4100,50497,179,6.72,6.42333333333334,7.11666666666667
Australia,2007-Q4,2007-10-01,350000,9200,53481,2984,7.11666666666667,6.72,7.59
Australia,2008-Q1,2008-01-01,339300,-10700,51236,-2245,7.59,7.11666666666667,7.8
Australia,2008-Q2,2008-04-01,350800,11500,58227,6991,7.8,7.59,7.44333333333333
Australia,2008-Q3,2008-07-01,358600,7800,55152,-3075,7.44333333333333,7.8,5.06
Australia,2008-Q4,2008-10-01,396200,37600,58819,3667,5.06,7.44333333333333,3.35333333333333
Australia,2009-Q1,2009-01-01,391900,-4300,55354,-3465,3.35333333333333,5.06,3.16
Australia,2009-Q2,2009-04-01,417900,26000,63167,7813,3.16,3.35333333333333,3.27
Australia,2009-Q3,2009-07-01,419100,1200,58311,-4856,3.27,3.16,3.95333333333333
Australia,2009-Q4,2009-10-01,412400,-6700,61215,2904,3.95333333333333,3.27,4.23
Australia,2010-Q1,2010-01-01,406000,-6400,58401,-2814,4.23,3.95333333333333,4.75
Australia,2010-Q2,2010-04-01,414900,8900,67749,9348,4.75,4.23,4.8
Australia,2010-Q3,2010-07-01,436300,21400,62036,-5713,4.8,4.75,4.95333333333333
Australia,2010-Q4,2010-10-01,445500,9200,66238,4202,4.95333333333333,4.8,4.93333333333333
Australia,2011-Q1,2011-01-01,442900,-2600,63513,-2725,4.93333333333333,4.95333333333333,4.96333333333333
Australia,2011-Q2,2011-04-01,438100,-4800,72995,9482,4.96333333333333,4.93333333333333,4.87666666666667
Australia,2011-Q3,2011-07-01,448700,10600,68177,-4818,4.87666666666667,4.96333333333333,4.62
Australia,2011-Q4,2011-10-01,453900,5200,70905,2728,4.62,4.87666666666667,4.40666666666667
Australia,2012-Q1,2012-01-01,441000,-12900,66771,-4134,4.40666666666667,4.62,3.78333333333333
Australia,2012-Q2,2012-04-01,460300,19300,76869,10098,3.78333333333333,4.40666666666667,3.55333333333333
Australia,2012-Q3,2012-07-01,487400,27100,70109,-6760,3.55333333333333,3.78333333333333,3.17
Australia,2012-Q4,2012-10-01,503500,16100,72826,2717,3.17,3.55333333333333,2.99666666666667
Australia,2013-Q1,2013-01-01,510000,6500,68900,-3926,2.99666666666667,3.17,2.88
Australia,2013-Q2,2013-04-01,530800,20800,77999,9099,2.88,2.99666666666667,2.64666666666667
Australia,2013-Q3,2013-07-01,547600,16800,74404,-3595,2.64666666666667,2.88,2.58666666666667
Australia,2013-Q4,2013-10-01,576900,29300,76765,2361,2.58666666666667,2.64666666666667,2.63333333333333
Australia,2014-Q1,2014-01-01,573700,-3200,70733,-6032,2.63333333333333,2.58666666666667,2.69
Australia,2014-Q2,2014-04-01,600200,26500,80044,9311,2.69,2.63333333333333,2.64666666666667
Australia,2014-Q3,2014-07-01,618700,18500,74740,-5304,2.64666666666667,2.69,2.74
Australia,2014-Q4,2014-10-01,643600,24900,78346,3606,2.74,2.64666666666667,2.45333333333333
Australia,2015-Q1,2015-01-01,655700,12100,74236,-4110,2.45333333333333,2.74,2.18333333333333
Australia,2015-Q2,2015-04-01,683700,28000,84338,10102,2.18333333333333,2.45333333333333,2.15
Australia,2015-Q3,2015-07-01,713600,29900,80999,-3339,2.15,2.18333333333333,2.23666666666667
Australia,2015-Q4,2015-10-01,731600,18000,82051,1052,2.23666666666667,2.15,2.29666666666667
Australia,2016-Q1,2016-01-01,735100,3500,83444,1393,2.29666666666667,2.23666666666667,2.08333333333333
Australia,2016-Q2,2016-04-01,751200,16100,90284,6840,2.08333333333333,2.29666666666667,1.80666666666667
Australia,2016-Q3,2016-07-01,766700,15500,86376,-3908,1.80666666666667,2.08333333333333,1.76
Australia,2016-Q4,2016-10-01,791300,24600,86358,-18,1.76,1.80666666666667,1.78333333333333
Australia,2017-Q1,2017-01-01,798300,7000,88230,1872,1.78333333333333,1.76,1.74
Australia,2017-Q2,2017-04-01,825900,27600,89582,1352,1.74,1.78333333333333,1.70666666666667
Australia,2017-Q3,2017-07-01,840500,14600,89674,92,1.70666666666667,1.74,1.73
Australia,2017-Q4,2017-10-01,861600,21100,92943,3269,1.73,1.70666666666667,1.83
Australia,2018-Q1,2018-01-01,860800,-800,88023,-4920,1.83,1.73,2.03
Australia,2018-Q2,2018-04-01,870500,9700,99903,11880,2.03,1.83,1.97
Australia,2018-Q3,2018-07-01,877900,7400,93914,-5989,1.97,2.03,1.96333333333333
Australia,2018-Q4,2018-10-01,881700,3800,99577,5663,1.96333333333333,1.97,1.95333333333333
Australia,2019-Q1,2019-01-01,878200,-3500,93632,-5945,1.95333333333333,1.96333333333333,1.50333333333333
Australia,2019-Q2,2019-04-01,909000,30800,109571,15939,1.50333333333333,1.95333333333333,1.02333333333333
Australia,2019-Q3,2019-07-01,1049200,140200,103148,-6423,1.02333333333333,1.50333333333333,0.896666666666666
Australia,2019-Q4,2019-10-01,1077000,27800,108470,5322,0.896666666666666,1.02333333333333,0.77
Australia,2020-Q1,2020-01-01,1177600,100600,106340,-2130,0.77,0.896666666666666,0.123333333333333
Australia,2020-Q2,2020-04-01,1260800,83200,115921,9581,0.123333333333333,0.77,0.0966666666666667
Australia,2020-Q3,2020-07-01,1330000,69200,113067,-2854,0.0966666666666667,0.123333333333333,0.0366666666666667
Australia,2020-Q4,2020-10-01,1376100,46100,117450,4383,0.0366666666666667,0.0966666666666667,NA
Korea,1990-Q1,1990-01-01,36396630,NA,5105400,NA,NA,NA,NA
Korea,1990-Q2,1990-04-01,37450200,1053570,5416300,310900,NA,NA,NA
Korea,1990-Q3,1990-07-01,38710370,1260170,5523600,107300,NA,NA,NA
Korea,1990-Q4,1990-10-01,41190830,2480460,5882300,358700,NA,NA,NA
Korea,1991-Q1,1991-01-01,44198800,3007970,6031300,149000,17.2666666666667,NA,18.8933333333333
Korea,1991-Q2,1991-04-01,44968070,769270,6270900,239600,18.8933333333333,17.2666666666667,18.6166666666667
Korea,1991-Q3,1991-07-01,46321870,1353800,6633000,362100,18.6166666666667,18.8933333333333,18.4266666666667
Korea,1991-Q4,1991-10-01,50319670,3997800,6997100,364100,18.4266666666667,18.6166666666667,16.8366666666667
Korea,1992-Q1,1992-01-01,54376070,4056400,7153500,156400,16.8366666666667,18.4266666666667,17.3766666666667
Korea,1992-Q2,1992-04-01,54704070,328000,7471700,318200,17.3766666666667,16.8366666666667,17.0333333333333
Korea,1992-Q3,1992-07-01,56750900,2046830,7896500,424800,17.0333333333333,17.3766666666667,14.4033333333333
Korea,1992-Q4,1992-10-01,62070470,5319570,8082400,185900,14.4033333333333,17.0333333333333,12.7033333333333
Korea,1993-Q1,1993-01-01,65667370,3596900,8163100,80700,12.7033333333333,14.4033333333333,11.8466666666667
Korea,1993-Q2,1993-04-01,66856970,1189600,8400300,237200,11.8466666666667,12.7033333333333,14.2766666666667
Korea,1993-Q3,1993-07-01,71646700,4789730,8556400,156100,14.2766666666667,11.8466666666667,13.02
Korea,1993-Q4,1993-10-01,74123200,2476500,8729900,173500,13.02,14.2766666666667,12
Korea,1994-Q1,1994-01-01,75302570,1179370,9037600,307700,12,13.02,12.4466666666667
Korea,1994-Q2,1994-04-01,76917660,1615090,9477300,439700,12.4466666666667,12,14.29
Korea,1994-Q3,1994-07-01,79811660,2894000,9704000,226700,14.29,12.4466666666667,14.4133333333333
Korea,1994-Q4,1994-10-01,84097630,4285970,10080300,376300,14.4133333333333,14.29,15.9
Korea,1995-Q1,1995-01-01,87785200,3687570,10240600,160300,15.9,14.4133333333333,14.72
Korea,1995-Q2,1995-04-01,86968370,-816830,9863900,-376700,14.72,15.9,13.5966666666667
Korea,1995-Q3,1995-07-01,89010300,2041930,11288700,1424800,13.5966666666667,14.72,12
Korea,1995-Q4,1995-10-01,95666570,6656270,12665000,1376300,12,13.5966666666667,11.6233333333333
Korea,1996-Q1,1996-01-01,97265600,1599030,12280800,-384200,11.6233333333333,12,11.17
Korea,1996-Q2,1996-04-01,99313460,2047860,11416900,-863900,11.17,11.6233333333333,13.9766666666667
Korea,1996-Q3,1996-07-01,102510100,3196640,13010900,1594000,13.9766666666667,11.17,13.7666666666667
Korea,1996-Q4,1996-10-01,109426200,6916100,14630100,1619200,13.7666666666667,13.9766666666667,12.7233333333333
Korea,1997-Q1,1997-01-01,114907500,5481300,13456600,-1173500,12.7233333333333,13.7666666666667,12.55
Korea,1997-Q2,1997-04-01,114717800,-189700,12458700,-997900,12.55,12.7233333333333,12.65
Korea,1997-Q3,1997-07-01,120760200,6042400,14102600,1643900,12.65,12.55,15.6033333333333
Korea,1997-Q4,1997-10-01,126906400,6146200,15815600,1713000,15.6033333333333,12.65,22.7233333333333
Korea,1998-Q1,1998-01-01,116875400,-10031000,15293000,-522600,22.7233333333333,15.6033333333333,18.49
Korea,1998-Q2,1998-04-01,101694200,-15181200,13815100,-1477900,18.49,22.7233333333333,11.84
Korea,1998-Q3,1998-07-01,113872100,12177900,15770600,1955500,11.84,18.49,7.82666666666667
Korea,1998-Q4,1998-10-01,120432300,6560200,17001300,1230700,7.82666666666667,11.84,6.75333333333333
Korea,1999-Q1,1999-01-01,127961400,7529100,16032200,-969100,6.75333333333333,7.82666666666667,6.20333333333333
Korea,1999-Q2,1999-04-01,140641900,12680500,14586900,-1445300,6.20333333333333,6.75333333333333,7.16
Korea,1999-Q3,1999-07-01,153787900,13146000,17057900,2471000,7.16,6.20333333333333,7.12
Korea,1999-Q4,1999-10-01,165994500,12206600,18382200,1324300,7.12,7.16,7.13666666666667
Korea,2000-Q1,2000-01-01,171307100,5312600,17535500,-846700,7.13666666666667,7.12,7.12333333333333
Korea,2000-Q2,2000-04-01,180927100,9620000,17388100,-147400,7.12333333333333,7.13666666666667,7.08
Korea,2000-Q3,2000-07-01,184125400,3198300,17981800,593700,7.08,7.12333333333333,6.97333333333333
Korea,2000-Q4,2000-10-01,190485000,6359600,18490800,509000,6.97333333333333,7.08,5.94666666666667
Korea,2001-Q1,2001-01-01,199325500,8840500,20050800,1560000,5.94666666666667,6.97333333333333,5.78
Korea,2001-Q2,2001-04-01,203461600,4136100,20225200,174400,5.78,5.94666666666667,4.96666666666667
Korea,2001-Q3,2001-07-01,221091000,17629400,21280500,1055300,4.96666666666667,5.78,4.57666666666667
Korea,2001-Q4,2001-10-01,239415800,18324800,22858900,1578400,4.57666666666667,4.96666666666667,4.65666666666667
Korea,2002-Q1,2002-01-01,258422700,19006900,22564500,-294400,4.65666666666667,4.57666666666667,4.81666666666667
Korea,2002-Q2,2002-04-01,261722100,3299400,21142900,-1421600,4.81666666666667,4.65666666666667,4.84
Korea,2002-Q3,2002-07-01,263735500,2013400,23055600,1912700,4.84,4.81666666666667,4.90666666666667
Korea,2002-Q4,2002-10-01,278131900,14396400,25272700,2217100,4.90666666666667,4.84,4.66666666666667
Korea,2003-Q1,2003-01-01,280073000,1941100,24856200,-416500,4.66666666666667,4.90666666666667,4.43
Korea,2003-Q2,2003-04-01,276123200,-3949800,25155500,299300,4.43,4.66666666666667,3.96
Korea,2003-Q3,2003-07-01,280504100,4380900,25583900,428400,3.96,4.43,4.16666666666667
Korea,2003-Q4,2003-10-01,294342200,13838100,26256500,672600,4.16666666666667,3.96,4.09
Korea,2004-Q1,2004-01-01,303717200,9375000,26811400,554900,4.09,4.16666666666667,3.90666666666667
Korea,2004-Q2,2004-04-01,302129600,-1587600,27804300,992900,3.90666666666667,4.09,3.71
Korea,2004-Q3,2004-07-01,304814600,2685000,28491300,687000,3.71,3.90666666666667,3.44333333333333
Korea,2004-Q4,2004-10-01,314554200,9739600,28961500,470200,3.44333333333333,3.71,3.53666666666667
Korea,2005-Q1,2005-01-01,325561900,11007700,30128100,1166600,3.53666666666667,3.44333333333333,3.51333333333333
Korea,2005-Q2,2005-04-01,334787500,9225600,28605900,-1522200,3.51333333333333,3.53666666666667,3.57
Korea,2005-Q3,2005-07-01,343652900,8865400,31430000,2824100,3.57,3.51333333333333,3.97666666666667
Korea,2005-Q4,2005-10-01,324559600,-19093300,32583600,1153600,3.97666666666667,3.57,4.22333333333333
Korea,2006-Q1,2006-01-01,324233200,-326400,32645400,61800,4.22333333333333,3.97666666666667,4.38666666666667
Korea,2006-Q2,2006-04-01,331458100,7224900,33083300,437900,4.38666666666667,4.22333333333333,4.65
Korea,2006-Q3,2006-07-01,332246500,788400,33757600,674300,4.65,4.38666666666667,4.64333333333333
Korea,2006-Q4,2006-10-01,350471400,18224900,35481300,1723700,4.64333333333333,4.65,4.93666666666667
Korea,2007-Q1,2007-01-01,335736900,-14734500,35786100,304800,4.93666666666667,4.64333333333333,5.00666666666667
Korea,2007-Q2,2007-04-01,302660900,-33076000,34521700,-1264400,5.00666666666667,4.93666666666667,5.2
Korea,2007-Q3,2007-07-01,298382300,-4278600,36169700,1648000,5.2,5.00666666666667,5.5
Korea,2007-Q4,2007-10-01,309125800,10743500,39036600,2866900,5.5,5.2,5.44666666666667
Korea,2008-Q1,2008-01-01,298322100,-10803700,38675100,-361500,5.44666666666667,5.5,5.36666666666667
Korea,2008-Q2,2008-04-01,306445500,8123400,38219400,-455700,5.36666666666667,5.44666666666667,5.69333333333333
Korea,2008-Q3,2008-07-01,309617000,3171500,40206500,1987100,5.69333333333333,5.36666666666667,5.44333333333333
Korea,2008-Q4,2008-10-01,323162500,13545500,43713000,3506500,5.44333333333333,5.69333333333333,2.79
Korea,2009-Q1,2009-01-01,340999600,17837100,43069300,-643700,2.79,5.44333333333333,2.41333333333333
Korea,2009-Q2,2009-04-01,362535500,21535900,43038600,-30700,2.41333333333333,2.79,2.51
Korea,2009-Q3,2009-07-01,367811500,5276000,43399700,361100,2.51,2.41333333333333,2.8
Korea,2009-Q4,2009-10-01,378659100,10847600,45674300,2274600,2.8,2.51,2.86333333333333
Korea,2010-Q1,2010-01-01,387553800,8894700,45908900,234600,2.86333333333333,2.8,2.47
Korea,2010-Q2,2010-04-01,396908800,9355000,45299900,-609000,2.47,2.86333333333333,2.62333333333333
Korea,2010-Q3,2010-07-01,398674700,1765900,46597800,1297900,2.62333333333333,2.47,2.73
Korea,2010-Q4,2010-10-01,417359900,18685200,49218300,2620500,2.73,2.62333333333333,3.13666666666667
Korea,2011-Q1,2011-01-01,429387900,12028000,48158400,-1059900,3.13666666666667,2.73,3.46333333333333
Korea,2011-Q2,2011-04-01,421039500,-8348400,49044700,886300,3.46333333333333,3.13666666666667,3.58666666666667
Korea,2011-Q3,2011-07-01,418335400,-2704100,50217000,1172300,3.58666666666667,3.46333333333333,3.56333333333333
Korea,2011-Q4,2011-10-01,427422500,9087100,51156900,939900,3.56333333333333,3.58666666666667,3.54
Korea,2012-Q1,2012-01-01,439896100,12473600,52326600,1169700,3.54,3.56333333333333,3.54
Korea,2012-Q2,2012-04-01,440029700,133600,51918500,-408100,3.54,3.54,3.22333333333333
Korea,2012-Q3,2012-07-01,441433100,1403400,53143300,1224800,3.22333333333333,3.54,2.88666666666667
Korea,2012-Q4,2012-10-01,453286200,11853100,53305700,162400,2.88666666666667,3.22333333333333,2.83333333333333
Korea,2013-Q1,2013-01-01,471400600,18114400,54943000,1637300,2.83333333333333,2.88666666666667,2.73666666666667
Korea,2013-Q2,2013-04-01,485734400,14333800,55725400,782400,2.73666666666667,2.83333333333333,2.66666666666667
Korea,2013-Q3,2013-07-01,486005300,270900,56324500,599100,2.66666666666667,2.73666666666667,2.65333333333333
Korea,2013-Q4,2013-10-01,505441100,19435800,57018200,693700,2.65333333333333,2.66666666666667,2.65
Korea,2014-Q1,2014-01-01,519636300,14195200,59879500,2861300,2.65,2.65333333333333,2.65
Korea,2014-Q2,2014-04-01,528773400,9137100,58975700,-903800,2.65,2.65,2.50666666666667
Korea,2014-Q3,2014-07-01,542094100,13320700,58280300,-695400,2.50666666666667,2.65,2.16
Korea,2014-Q4,2014-10-01,570840500,28746400,60232200,1951900,2.16,2.50666666666667,2.06666666666667
Korea,2015-Q1,2015-01-01,595461700,24621200,63203200,2971000,2.06666666666667,2.16,1.77
Korea,2015-Q2,2015-04-01,629161300,33699600,63294900,91700,1.77,2.06666666666667,1.63
Korea,2015-Q3,2015-07-01,659648500,30487200,60389000,-2905900,1.63,1.77,1.61333333333333
Korea,2015-Q4,2015-10-01,689071200,29422700,62852700,2463700,1.61333333333333,1.63,1.64666666666667
Korea,2016-Q1,2016-01-01,711016400,21945200,65195500,2342800,1.64666666666667,1.61333333333333,1.54
Korea,2016-Q2,2016-04-01,727541300,16524900,65753900,558400,1.54,1.64666666666667,1.35
Korea,2016-Q3,2016-07-01,743720100,16178800,66436700,682800,1.35,1.54,1.43666666666667
Korea,2016-Q4,2016-10-01,773787100,30067000,67331000,894300,1.43666666666667,1.35,1.49
Korea,2017-Q1,2017-01-01,786817800,13030700,70707500,3376500,1.49,1.43666666666667,1.4
Korea,2017-Q2,2017-04-01,800225300,13407500,71182900,475400,1.4,1.49,1.38666666666667
Korea,2017-Q3,2017-07-01,811609000,11383700,69490000,-1692900,1.38666666666667,1.4,1.49666666666667
Korea,2017-Q4,2017-10-01,829674900,18065900,70519000,1029000,1.49666666666667,1.38666666666667,1.65333333333333
Korea,2018-Q1,2018-01-01,840125200,10450300,73876300,3357300,1.65333333333333,1.49666666666667,1.65
Korea,2018-Q2,2018-04-01,845041200,4916000,75015600,1139300,1.65,1.65333333333333,1.65
Korea,2018-Q3,2018-07-01,841230100,-3811100,76498900,1483300,1.65,1.65,1.76666666666667
Korea,2018-Q4,2018-10-01,847802500,6572400,78470400,1971500,1.76666666666667,1.65,1.88
Korea,2019-Q1,2019-01-01,863891300,16088800,79123600,653200,1.88,1.76666666666667,1.83333333333333
Korea,2019-Q2,2019-04-01,875239400,11348100,81210800,2087200,1.83333333333333,1.88,1.57
Korea,2019-Q3,2019-07-01,882762800,7523400,82565800,1355000,1.57,1.83333333333333,1.50333333333333
Korea,2019-Q4,2019-10-01,918023700,35260900,84880200,2314400,1.50333333333333,1.57,1.37333333333333
Korea,2020-Q1,2020-01-01,979229400,61205700,86452600,1572400,1.37333333333333,1.50333333333333,0.97
Korea,2020-Q2,2020-04-01,1053604000,74374600,87098600,646000,0.97,1.37333333333333,0.7
Korea,2020-Q3,2020-07-01,1101956000,48352000,87754200,655600,0.7,0.97,0.65
Korea,2020-Q4,2020-10-01,1162444000,60488000,88280800,526600,0.65,0.7,NA
